,Title,Date,Fragments,,,,Lab/Ops,Principles,,,,
0,"Medicinal experiments, or, A collection of choice and safe remedies for the most part simple and easily prepared, useful in families, and very serviceable to country people / by R. Boyle ; to which is annexed a catalogue of his theological and philosophical books and tracts.",1693-01-01,with a sufficient quantity of unsalted lard make it into an,,,,1,%,17.22,46.89,35.89,
4,"Medicinal experiments, or, A collection of choice and safe remedies for the most part simple and easily prepared, useful in families, and very serviceable to country people / by R. Boyle ; to which is annexed a catalogue of his theological and philosophical books and tracts.",1693-01-01,excellent remedy against fluxes take unsalted butter boyl it gently till,,,,1,,,,,
5,"Medicinal experiments, or, A collection of choice and safe remedies for the most part simple and easily prepared, useful in families, and very serviceable to country people / by R. Boyle ; to which is annexed a catalogue of his theological and philosophical books and tracts.",1693-01-01,half a dram pouder the salts finely and incorporate them very,,,,1,,,,,
7,Chymical secrets and rare experiments in physick & philosophy with figures collected and experimented / by the Honourable and learned Sir Kenelm Digby ...,1683-01-01,will find at last the salts resolved into a liquor in,,,,1,,,,,
8,Chymical secrets and rare experiments in physick & philosophy with figures collected and experimented / by the Honourable and learned Sir Kenelm Digby ...,1683-01-01,bottom adding j of new sulphur vive then sublime in the,,,,1,,,,,
9,Chymical secrets and rare experiments in physick & philosophy with figures collected and experimented / by the Honourable and learned Sir Kenelm Digby ...,1683-01-01,upon it the spirit of sulphur you distilled off and distill,,,,1,,,,,
10,Chymical secrets and rare experiments in physick & philosophy with figures collected and experimented / by the Honourable and learned Sir Kenelm Digby ...,1683-01-01,salt take ounce xiv of salt and vij of spirit and,,,,1,,,,,
11,Chymical secrets and rare experiments in physick & philosophy with figures collected and experimented / by the Honourable and learned Sir Kenelm Digby ...,1683-01-01,put but lbss of this salt into each retort deflegm it,,,,1,,,,,
12,Chymical secrets and rare experiments in physick & philosophy with figures collected and experimented / by the Honourable and learned Sir Kenelm Digby ...,1683-01-01,is perfectly fundant another fusible salt dissolve salt in rain water,,,,1,,,,,
13,Chymical secrets and rare experiments in physick & philosophy with figures collected and experimented / by the Honourable and learned Sir Kenelm Digby ...,1683-01-01,a white spirit of sulphur to dissolve and given me,,,,1,,,,,
14,Observations on the mineral waters of France made in the Royal Academy of the Sciences / by the Sieur Du Clos.,1684-01-01,by the mixture of the salt of the water of le,,,,1,,,,,
15,Observations on the mineral waters of France made in the Royal Academy of the Sciences / by the Sieur Du Clos.,1684-01-01,sulphurous salt mixt with common salt this sulphurous salt was so,,,,1,,,,,
16,Observations on the mineral waters of France made in the Royal Academy of the Sciences / by the Sieur Du Clos.,1684-01-01,remain d of earth and salt after distillation was found like,,,,1,,,,,
17,Observations on the mineral waters of France made in the Royal Academy of the Sciences / by the Sieur Du Clos.,1684-01-01,first this acidity whereon the sulphurous salts may act the contrary,,,,1,,,,,
18,Observations on the mineral waters of France made in the Royal Academy of the Sciences / by the Sieur Du Clos.,1684-01-01,leafy earth without any manifest salt of the water of the,,,,1,,,,,
20,Observations on the mineral waters of France made in the Royal Academy of the Sciences / by the Sieur Du Clos.,1684-01-01,the water of pougues this salt being melted in a crucible,,,,1,,,,,
23,"A letter in answer to certain quæries and objections made by a learned Galenist against the theorie and practice of chymical physick wherein the right method of curing of diseases is demonstrated, the possibility of universal medicine evinced, and chymical physick vindicated / by George Acton ...",1670-01-01,mercury antimony c and corrosive salts as vitrial nitre tarter bay,,,,1,,,,,
24,"A letter in answer to certain quæries and objections made by a learned Galenist against the theorie and practice of chymical physick wherein the right method of curing of diseases is demonstrated, the possibility of universal medicine evinced, and chymical physick vindicated / by George Acton ...",1670-01-01,of the spirit and volatile salt of the ingredients which contains,,,,1,,,,,
26,"A letter in answer to certain quæries and objections made by a learned Galenist against the theorie and practice of chymical physick wherein the right method of curing of diseases is demonstrated, the possibility of universal medicine evinced, and chymical physick vindicated / by George Acton ...",1670-01-01,vitriol tartre nitre and bay salt you may draw a menstruum,,,,1,,,,,
29,"Paracelsus his Aurora, & treasure of the philosophers· As also the water-stone of the wise men; describing the matter of, and manner how to attain the universal tincture. Faithfully Englished· And published by J. H. Oxon.",1659-01-01,have sublimed it from common salt and the calx of eggs,,,,1,,,,,
30,"Paracelsus his Aurora, & treasure of the philosophers· As also the water-stone of the wise men; describing the matter of, and manner how to attain the universal tincture. Faithfully Englished· And published by J. H. Oxon.",1659-01-01,thought of the sublimation of mercury by mineral spirits for the,,,,1,,,,,
32,"Paracelsus his Aurora, & treasure of the philosophers· As also the water-stone of the wise men; describing the matter of, and manner how to attain the universal tincture. Faithfully Englished· And published by J. H. Oxon.",1659-01-01,red fixt sulphur to which sulphur a third part of the,,,,1,,,,,
36,"Archelogia philosophica nova, or, New principles of philosophy containing philosophy in general, metaphysicks or ontology, dynamilogy or a discourse of power, religio philosophi or natural theology, physicks or natural philosophy / by Gideon Harvey ...",1663-01-01,fiery sharp as pepper bitter salt acid or sour acerbous putrid,,,,0,,,,,
37,"Archelogia philosophica nova, or, New principles of philosophy containing philosophy in general, metaphysicks or ontology, dynamilogy or a discourse of power, religio philosophi or natural theology, physicks or natural philosophy / by Gideon Harvey ...",1663-01-01,colour  the whiteness of mercury sublimate corrosive and of mercury,,,,1,,,,,
38,"Archelogia philosophica nova, or, New principles of philosophy containing philosophy in general, metaphysicks or ontology, dynamilogy or a discourse of power, religio philosophi or natural theology, physicks or natural philosophy / by Gideon Harvey ...",1663-01-01,out of mines and that mercury is convertible into gold if,,,,1,,,,,
40,"Archelogia philosophica nova, or, New principles of philosophy containing philosophy in general, metaphysicks or ontology, dynamilogy or a discourse of power, religio philosophi or natural theology, physicks or natural philosophy / by Gideon Harvey ...",1663-01-01,fortified by a rectification upon salt armoniack chymical furnace hunters do,,,,1,,,,,
41,"Archelogia philosophica nova, or, New principles of philosophy containing philosophy in general, metaphysicks or ontology, dynamilogy or a discourse of power, religio philosophi or natural theology, physicks or natural philosophy / by Gideon Harvey ...",1663-01-01,salt salt gemmae saltpeter allume salt armoniack and vitriol common salt,,,,1,,,,,
